destination,country,tags,description,rating,popularity,price_level
Rio de Janeiro: Carioca Landscapes between the Mountain and the Sea,Brazil,Cultural Latin America and the Caribbean Historic Landmark World Heritage," The site consists of an exceptional urban setting encompassing the key natural elements that have shaped and inspired the development of the city: from the highest points of the Tijuca National Park&rsquo;s mountains down to the sea. They also include the Botanical Gardens, established in 1808, Corcovado Mountain with its celebrated statue of Christ, and the hills around Guanabara Bay, including the extensive designed landscapes along Copacabana Bay which have contributed to the outdoor living culture of this spectacular city. Rio de Janeiro is also recognized for the artistic inspiration it has provided to musicians, landscapers and urbanists. ",4.6,87,3
Shanghai,China,City Trip Culture History Art Nightlife Party,"Vibrant streets pulse with energy, blending futuristic skyscrapers with ancient temples, while enticing aromas from street food stalls fill the air.",3.5,82,3
Historic Centre of Oaxaca and Archaeological Site of Monte Albán,Mexico,Cultural Latin America and the Caribbean Historic Landmark World Heritage," Inhabited over a period of 1,500 years by a succession of peoples &ndash; Olmecs, Zapotecs and Mixtecs &ndash; the terraces, dams, canals, pyramids and artificial mounds of Monte Alb&aacute;n were literally carved out of the mountain and are the symbols of a sacred topography. The nearby city of Oaxaca, which is built on a grid pattern, is a good example of Spanish colonial town planning. The solidity and volume of the city's buildings show that they were adapted to the earthquake-prone region in which these architectural gems were constructed. ",4.6,86,2
Works of Antoni Gaudí ,Spain,Cultural Europe and North America Historic Landmark World Heritage," Seven properties built by the architect Antoni Gaud&iacute; (1852&ndash;1926) in or near Barcelona testify to Gaud&iacute;&rsquo;s exceptional creative contribution to the development of architecture and building technology in the late 19th and early 20th centuries. These monuments represent an eclectic, as well as a very personal, style which was given free reign in the design of gardens, sculpture and all decorative arts, as well as architecture. The seven buildings are: Parque G&uuml;ell; Palacio G&uuml;ell; Casa Mila; Casa Vicens; Gaud&iacute;&rsquo;s work on the Nativity fa&ccedil;ade and Crypt of La Sagrada Familia; Casa Batll&oacute;; Crypt in Colonia G&uuml;ell. ",4.7,72,1
Hamburg,Germany,City Trip Culture History Art Nightlife Party,"A lively port city where historic architecture meets modern design, offering a relaxed vibe with waterfront strolls and bustling markets.",4.3,78,3
Venice,Italy,City Trip Culture History Art,"Winding canals, charming gondolas, and historic architecture create a romantic atmosphere, where every corner reveals a new story and hidden gem.",3.6,69,5
Pitons Management Area,Saint Lucia,Natural Latin America and the Caribbean Historic Landmark World Heritage," The 2,909-ha site near the town of Soufriere includes the Pitons, two volcanic spires rising side by side from the sea (770 m and 743 m high respectively), linked by the Piton Mitan ridge. The volcanic complex includes a geothermal field with sulphurous fumeroles and hot springs. Coral reefs cover almost 60% of the site&rsquo;s marine area. A survey has revealed 168 species of finfish, 60 species of cnidaria, including corals, eight molluscs, 14 sponges, 11 echinoderms, 15 arthropods and eight annelid worms. The dominant terrestrial vegetation is tropical moist forest grading to subtropical wet forest, with small areas of dry forest and wet elfin woodland on the summits. At least 148 plant species have been recorded on Gros Piton, 97 on Petit Piton and the intervening ridge, among them eight rare tree species. The Gros Piton is home to some 27 bird species (five of them endemic), three indigenous rodents, one opossum, three bats, eight reptiles and three amphibians. ",4.9,90,2
Historic Town of Zabid,Yemen,Cultural Arab States Historic Landmark World Heritage," Zabid's domestic and military architecture and its urban plan make it an outstanding archaeological and historical site. Besides being the capital of Yemen from the 13th to the 15th century, the city played an important role in the Arab and Muslim world for many centuries because of its Islamic university. ",4.5,85,1
Hvar,Croatia,City Trip Nature Landscape Beach Sea Tropical Nightlife Party,"Sun-drenched beaches, fragrant lavender fields, and lively waterfronts create a vibrant yet relaxed atmosphere perfect for unwinding and exploring.",4.1,71,3
Great Zimbabwe National Monument,Zimbabwe,Cultural Africa Historic Landmark World Heritage," The ruins of Great Zimbabwe &ndash; the capital of the Queen of Sheba, according to an age-old legend &ndash; are a unique testimony to the Bantu civilization of the Shona between the 11th and 15th centuries. The city, which covers an area of nearly 80 ha, was an important trading centre and was renowned from the Middle Ages onwards. ",4.6,57,3
Island of Saint-Louis,Senegal,Cultural Africa Historic Landmark World Heritage," Founded as a French colonial settlement in the 17th century, Saint-Louis was urbanised in the mid-19th century. It was the capital of Senegal from 1872 to 1957 and played an important cultural and economic role in the whole of West Africa. The location of the town on an island at the mouth of the Senegal River, its regular town plan, the system of quays, and the characteristic colonial architecture give Saint-Louis its distinctive appearance and identity. ",4.6,66,2
Wadi Al-Hitan (Whale Valley),Egypt,Natural Arab States Historic Landmark World Heritage," Wadi Al-Hitan, Whale Valley, in the Western Desert of Egypt, contains invaluable fossil remains of the earliest, and now extinct, suborder of whales, Archaeoceti. These fossils represent one of the major stories of evolution: the emergence of the whale as an ocean-going mammal from a previous life as a land-based animal. This is the most important site in the world for the demonstration of this stage of evolution. It portrays vividly the form and life of these whales during their transition. The number, concentration and quality of such fossils here is unique, as is their accessibility and setting in an attractive and protected landscape. The fossils of Al-Hitan show the youngest archaeocetes, in the last stages of losing their hind limbs. Other fossil material in the site makes it possible to reconstruct the surrounding environmental and ecological conditions of the time. ",4.9,94,2
Bujumbura,Burundi,City Trip Nature Landscape,"A city where vibrant street markets and lush lakeside views create an inviting atmosphere, full of lively interactions and serene moments.",3.6,66,1
Nadi,Fiji,City Trip Nature Landscape Adventure Hiking Beach Sea Tropical,"Tropical breezes and vibrant markets greet you, where lush greenery meets sandy beaches, creating a laid-back yet lively atmosphere.",4.9,99,3
Bergen,Norway,City Trip Nature Landscape Culture History Art Adventure Hiking,"Charming waterfront views, colorful wooden houses, and the fresh scent of sea air make this coastal city feel both cozy and invigorating.",4.7,65,5
Riga,Latvia,City Trip Culture History Art Nightlife Party,"Charming cobblestone streets, vibrant markets, and a blend of medieval and Art Nouveau architecture create a captivating and cozy atmosphere for exploration.",4.7,76,3
Historic Monuments Zone of Tlacotalpan,Mexico,Cultural Latin America and the Caribbean Historic Landmark World Heritage," Tlacotalpan, a Spanish colonial river port on the Gulf coast of Mexico, was founded in the mid-16th century. It has preserved its original urban fabric to a remarkable degree, with wide streets, colonnaded houses in a profusion of styles and colours, and many mature trees in the public open spaces and private gardens. ",4.7,93,3
Le Morne Cultural Landscape,Mauritius,Cultural Africa Historic Landmark World Heritage," Le Morne Cultural Landscape, a rugged mountain that juts into the Indian Ocean in the southwest of Mauritius was used as a shelter by runaway slaves, maroons, through the 18th and early years of the 19th centuries. Protected by the mountain’s isolated, wooded and almost inaccessible cliffs, the escaped slaves formed small settlements in the caves and on the summit of Le Morne. The oral traditions associated with the maroons, have made Le Morne a symbol of the slaves’ fight for freedom, their suffering, and their sacrifice, all of which have relevance to the countries from which the slaves came - the African mainland, Madagascar, India, and South-east Asia. Indeed, Mauritius, an important stopover in the eastern slave trade, also came to be known as the “Maroon republic” because of the large number of escaped slaves who lived on Le Morne Mountain. ",5.0,76,2
Central University City Campus of the <i>Universidad Nacional Autónoma de México</i> (UNAM),Mexico,Cultural Latin America and the Caribbean Historic Landmark World Heritage," The ensemble of buildings, sports facilities and open spaces of the Central University City Campus of the Universidad Nacional Aut&oacute;noma de M&eacute;xico (UNAM), was built from 1949 to 1952 by more than 60 architects, engineers and artists who were involved in the project. As a result, the campus constitutes a unique example of 20th-century modernism integrating urbanism, architecture, engineering, landscape design and fine arts with references to local traditions, especially to Mexico&rsquo;s pre-Hispanic past. The ensemble embodies social and cultural values of universal significance and is one of the most significant icons of modernity in Latin America. ",4.7,75,1
Plovdiv,Bulgaria,City Trip Culture History Art,"Charming cobblestone streets, vibrant street art, and ancient ruins create a unique blend of history and modernity, inviting leisurely exploration.",4.5,94,1
"Haeinsa Temple Janggyeong Panjeon, the Depositories for the <I>Tripitaka Koreana</I> Woodblocks",Republic of Korea,Cultural Asia and the Pacific Historic Landmark World Heritage," The Temple of Haeinsa, on Mount Gaya, is home to the Tripitaka Koreana , the most complete collection of Buddhist texts, engraved on 80,000 woodblocks between 1237 and 1248. The buildings of Janggyeong Panjeon, which date from the 15th century, were constructed to house the woodblocks, which are also revered as exceptional works of art. As the oldest depository of the Tripitaka , they reveal an astonishing mastery of the invention and implementation of the conservation techniques used to preserve these woodblocks. ",4.8,89,3
Nicosia,Cyprus,City Trip Culture History Art,"Wander through leafy streets where ancient history meets modern life, with a vibrant café culture and a warm, welcoming atmosphere.",3.8,83,3
Puerto Vallarta,Mexico,City Trip Nature Landscape Adventure Hiking Beach Sea Tropical Nightlife Party,"Golden beaches meet the lush Sierra Madre mountains, creating a vibrant yet laid-back atmosphere filled with colorful markets and lively nightlife.",4.3,85,3
Classical Weimar,Germany,Cultural Europe and North America Historic Landmark World Heritage," In the late 18th and early 19th centuries the small Thuringian town of Weimar witnessed a remarkable cultural flowering, attracting many writers and scholars, notably Goethe and Schiller. This development is reflected in the high quality of many of the buildings and of the parks in the surrounding area. ",4.7,50,2
Seychelles,Seychelles,City Trip Nature Landscape Beach Sea Tropical,"Imagine pristine beaches with powdery sand, lush greenery, and the gentle sound of waves, offering a serene and rejuvenating escape.",3.5,91,5
Lord Howe Island Group,Australia,Natural Asia and the Pacific Historic Landmark World Heritage," A remarkable example of isolated oceanic islands, born of volcanic activity more than 2,000 m under the sea, these islands boast a spectacular topography and are home to numerous endemic species, especially birds. ",4.9,89,2
Auschwitz Birkenau <br /><small>German Nazi Concentration and Extermination Camp (1940-1945)</small>,Poland,Cultural Europe and North America Historic Landmark World Heritage," The fortified walls, barbed wire, platforms, barracks, gallows, gas chambers and cremation ovens show the conditions within which the Nazi genocide took place in the former concentration and extermination camp of Auschwitz-Birkenau, the largest in the Third Reich. According to historical investigations, 1.5 million people, among them a great number of Jews, were systematically starved, tortured and murdered in this camp, the symbol of humanity's cruelty to its fellow human beings in the 20th century. ",4.5,67,2
Sydney,Australia,City Trip Nature Landscape Culture History Art Adventure Hiking Beach Sea Tropical Nightlife Party,"A lively harbor city where golden beaches meet urban sophistication, offering a blend of vibrant culture and stunning natural beauty.",5.0,95,5
Petroglyphic Complexes of the Mongolian Altai,Mongolia,Cultural Asia and the Pacific Historic Landmark World Heritage," The numerous rock carvings and funerary monuments found in these three sites illustrate the development of culture in Mongolia over a period of 12,000 years. The earliest images reflect a time (11,000 - 6,000 BC) when the area was partly forested and the valley provided a habitat for hunters of large game. Later images show the transition to herding as the dominant way of life. The most recent images show the transition to a horse-dependent nomadic lifestyle during the early 1st millennium BC, the Scythian period and the later Turkic period (7th and 8th centuries AD). The carvings contribute valuably to our understanding of pre-historic communities in northern Asia. ",4.5,62,1
Nahanni National Park,Canada,Natural Europe and North America Historic Landmark World Heritage," Located along the South Nahanni River, one of the most spectacular wild rivers in North America, this park contains deep canyons and huge waterfalls, as well as a unique limestone cave system. The park is also home to animals of the boreal forest, such as wolves, grizzly bears and caribou. Dall's sheep and mountain goats are found in the park's alpine environment. ",4.7,78,1
Panama City,Panama,City Trip Nature Landscape Culture History Art Nightlife Party,Humid evenings and skyscraper views contrast beautifully with colorful historic quarters and lush jungle landscapes within easy reach.,4.6,77,3
Stari Ras and Sopoćani,Serbia,Cultural Europe and North America Historic Landmark World Heritage," On the outskirts of Stari Ras, the first capital of Serbia, there is an impressive group of medieval monuments consisting of fortresses, churches and monasteries. The monastery at Sopoćani is a reminder of the contacts between Western civilization and the Byzantine world. ",4.7,59,1
Rainforests of the Atsinanana,Madagascar,Natural Africa Historic Landmark World Heritage," The Rainforests of the Atsinanana comprise six national parks distributed along the eastern part of the island. These relict forests are critically important for maintaining ongoing ecological processes necessary for the survival of Madagascar&rsquo;s unique biodiversity, which reflects the island&rsquo;s geological history. Having completed its separation from all other land masses more than 60 million years ago, Madagascar&rsquo;s plant and animal life evolved in isolation. The rainforests are inscribed for their importance to both ecological and biological processes as well as their biodiversity and the threatened species they support. Many species are rare and threatened especially primates and lemurs. ",4.6,60,2
Etruscan Necropolises of Cerveteri and Tarquinia,Italy,Cultural Europe and North America Historic Landmark World Heritage," These two large Etruscan cemeteries reflect different types of burial practices from the 9th to the 1st century BC, and bear witness to the achievements of Etruscan culture. Which over nine centuries developed the earliest urban civilization in the northern Mediterranean. Some of the tombs are monumental, cut in rock and topped by impressive tumuli (burial mounds). Many feature carvings on their walls, others have wall paintings of outstanding quality. The necropolis near Cerveteri, known as Banditaccia, contains thousands of tombs organized in a city-like plan, with streets, small squares and neighbourhoods. The site contains very different types of tombs: trenches cut in rock; tumuli; and some, also carved in rock, in the shape of huts or houses with a wealth of structural details. These provide the only surviving evidence of Etruscan residential architecture. The necropolis of Tarquinia, also known as Monterozzi, contains 6,000 graves cut in the rock. It is famous for its 200 painted tombs, the earliest of which date from the 7th century BC. ",4.9,89,2
Castles of Augustusburg and Falkenlust at Brühl,Germany,Cultural Europe and North America Historic Landmark World Heritage," Set in an idyllic garden landscape, Augustusburg Castle (the sumptuous residence of the prince-archbishops of Cologne) and the Falkenlust hunting lodge (a small rural folly) are among the earliest examples of Rococo architecture in 18th-century Germany. ",4.9,52,2
Kaziranga National Park,India,Natural Asia and the Pacific Historic Landmark World Heritage," In the heart of Assam, this park is one of the last areas in eastern India undisturbed by a human presence. It is inhabited by the world's largest population of one-horned rhinoceroses, as well as many mammals, including tigers, elephants, panthers and bears, and thousands of birds. ",4.9,90,2
Old Town of Cáceres,Spain,Cultural Europe and North America Historic Landmark World Heritage," The city's history of battles between Moors and Christians is reflected in its architecture, which is a blend of Roman, Islamic, Northern Gothic and Italian Renaissance styles. Of the 30 or so towers from the Muslim period, the Torre del Bujaco is the most famous. ",4.8,68,1
Lagos,Portugal,City Trip Nature Landscape Adventure Hiking Beach Sea Tropical Nightlife Party,"Charming cobblestone streets lead to golden beaches and dramatic cliffs, where the ocean breeze mingles with the aroma of grilled seafood.",3.8,75,3
White Monuments of Vladimir and Suzdal,Russian Federation,Cultural Europe and North America Historic Landmark World Heritage," These two artistic centres in central Russia hold an important place in the country's architectural history. There are a number of magnificent 12th- and 13th-century public and religious buildings, above all the masterpieces of the Collegiate Church of St Demetrios and the Cathedral of the Assumption of the Virgin. ",4.9,88,2
Rostock,Germany,City Trip Culture History Art Beach Sea Tropical,"Charming cobblestone streets and historic architecture meet the refreshing sea breeze, creating a welcoming blend of maritime history and modern vibrancy.",4.0,97,3
Helsinki,Finland,City Trip Nature Landscape Culture History Art,"A blend of modern design and serene nature, where crisp air and cozy cafes invite you to unwind and explore.",4.2,81,3
Archaeological Ruins at Moenjodaro,Pakistan,Cultural Asia and the Pacific Historic Landmark World Heritage," The ruins of the huge city of Moenjodaro &ndash; built entirely of unbaked brick in the 3rd millennium B.C. &ndash; lie in the Indus valley. The acropolis, set on high embankments, the ramparts, and the lower town, which is laid out according to strict rules, provide evidence of an early system of town planning. ",4.7,65,2
Early Christian Necropolis of Pécs (Sopianae),Hungary,Cultural Europe and North America Historic Landmark World Heritage," In the 4th century, a remarkable series of decorated tombs were constructed in the cemetery of the Roman provincial town of Sopianae (modern Pécs). These are important both structurally and architecturally, since they were built as underground burial chambers with memorial chapels above the ground. The tombs are important also in artistic terms, since they are richly decorated with murals of outstanding quality depicting Christian themes. ",4.8,80,2
