destination,country,category,price_range,popularity,rating,description
Paris,France,City,High,9.5,4.8,"Romantic city with Eiffel Tower and Louvre Museum"
Tokyo,Japan,City,High,9.2,4.7,"Modern metropolis with traditional temples and technology"
Bali,Indonesia,Beach,Medium,8.8,4.6,"Tropical paradise with beaches and volcanoes"
New York,USA,City,High,9.0,4.5,"The city that never sleeps with skyscrapers and Broadway"
Santorini,Greece,Island,High,8.9,4.9,"Stunning sunsets and white-washed buildings"
Dubai,UAE,City,High,8.7,4.4,"Luxury shopping and modern architecture"
Barcelona,Spain,City,Medium,8.5,4.6,"Gaudi architecture and vibrant culture"
Amsterdam,Netherlands,City,Medium,8.3,4.5,"Canals, bikes, and museums"
Sydney,Australia,City,High,8.6,4.7,"Opera House and Harbour Bridge"
Rio de Janeiro,Brazil,Beach,Medium,8.4,4.5,"Carnival, beaches, and Christ the Redeemer"
Machu Picchu,Peru,Adventure,Medium,8.2,4.8,"Ancient Incan citadel in the mountains"
Istanbul,Turkey,City,Low,8.1,4.4,"Bridge between Europe and Asia with rich history"
Bangkok,Thailand,City,Low,8.0,4.3,"Temples, street food, and bustling markets"
Cape Town,South Africa,Adventure,Medium,7.9,4.6,"Table Mountain and diverse wildlife"
Venice,Italy,City,High,8.8,4.7,"Canals, gondolas, and Renaissance art"
Berlin,Germany,City,Medium,8.2,4.5,"History, art, and vibrant nightlife"
Prague,Czech Republic,City,Low,7.8,4.4,"Medieval architecture and affordable charm"
Vienna,Austria,City,Medium,7.7,4.5,"Classical music and imperial palaces"
Athens,Greece,City,Low,7.6,4.3,"Ancient ruins and Mediterranean climate"
Marrakech,Morocco,City,Low,7.5,4.2,"Souks, palaces, and desert nearby"
Rome,Italy,City,Medium,8.7,4.6,"Colosseum, Vatican City, and ancient history"
London,UK,City,High,9.1,4.7,"Big Ben, Thames River, and royal palaces"
Singapore,Singapore,City,High,8.9,4.8,"Clean city-state with Gardens by the Bay"
Phuket,Thailand,Beach,Medium,8.0,4.4,"Beautiful beaches and islands"
Hawaii,USA,Beach,High,8.5,4.7,"Volcanic islands and tropical beaches"
Edinburgh,Scotland,City,Medium,7.9,4.5,"Historic castle and festivals"
Lisbon,Portugal,City,Low,8.1,4.4,"Tram rides, seafood, and seven hills"
Budapest,Hungary,City,Low,7.8,4.3,"Thermal baths and ruin bars"
Stockholm,Sweden,City,Medium,8.0,4.6,"Archipelago and modern design"
Copenhagen,Denmark,City,High,8.2,4.7,"Little Mermaid and hygge culture"
Zurich,Switzerland,City,High,8.3,4.6,"Banks, lakes, and chocolate"
Munich,Germany,City,Medium,8.1,4.5,"Beer gardens and Oktoberfest"
Florence,Italy,City,Medium,8.4,4.6,"Renaissance art and Tuscan countryside"
Milan,Italy,City,High,8.0,4.5,"Fashion capital and Duomo Cathedral"
Naples,Italy,City,Low,7.5,4.2,"Pizza, volcanoes, and ancient ruins"
Madrid,Spain,City,Medium,8.3,4.5,"Royal Palace and Prado Museum"
Seville,Spain,City,Low,7.9,4.4,"Flamenco, Alcazar, and orange trees"
Valencia,Spain,City,Low,7.7,4.3,"City of Arts and Sciences"
Porto,Portugal,City,Low,7.8,4.4,"Port wine and Douro River"
Brussels,Belgium,City,Medium,7.6,4.3,"Chocolate, waffles, and Atomium"
Vienna,Austria,City,Medium,7.7,4.5,"Classical music and imperial palaces"
Salzburg,Austria,City,Medium,7.9,4.6,"Mozart's birthplace and Sound of Music"
Innsbruck,Austria,City,Medium,7.5,4.4,"Alpine scenery and Olympic history"
Prague,Czech Republic,City,Low,7.8,4.4,"Medieval architecture and affordable charm"
Brno,Czech Republic,City,Low,6.8,4.0,"Modern architecture and universities"
Warsaw,Poland,City,Low,7.2,4.1,"History, culture, and Old Town"
Krakow,Poland,City,Low,7.8,4.3,"Medieval charm and Wawel Castle"
Gdansk,Poland,City,Low,7.1,4.2,"Hanover architecture and Baltic Sea"
Athens,Greece,City,Low,7.6,4.3,"Ancient ruins and Mediterranean climate"
Thessaloniki,Greece,City,Low,7.0,4.1,"Byzantine history and waterfront"
Crete,Greece,Island,Medium,7.9,4.4,"Palaces, beaches, and mythology"
Mykonos,Greece,Island,High,8.1,4.5,"White buildings and party scene"
Rhodes,Greece,Island,Medium,7.8,4.3,"Medieval castle and beaches"
Corfu,Greece,Island,Medium,7.7,4.4,"Venetian architecture and greenery"
Istanbul,Turkey,City,Low,8.1,4.4,"Bridge between Europe and Asia with rich history"
Antalya,Turkey,Beach,Low,7.5,4.2,"Mediterranean beaches and ancient sites"
Cappadocia,Turkey,Adventure,Medium,8.3,4.7,"Fairy chimneys and hot air balloons"
Pamukkale,Turkey,Adventure,Low,7.9,4.5,"Cotton Castle and thermal pools"
Ephesus,Turkey,Adventure,Low,8.0,4.6,"Ancient Greek and Roman ruins"
Bangkok,Thailand,City,Low,8.0,4.3,"Temples, street food, and bustling markets"
Chiang Mai,Thailand,City,Low,7.8,4.4,"Temples, elephants, and night markets"
Phuket,Thailand,Beach,Medium,8.0,4.4,"Beautiful beaches and islands"
Krabi,Thailand,Beach,Medium,7.9,4.5,"Limestone cliffs and islands"
Hua Hin,Thailand,Beach,Low,7.2,4.1,"Royal resort town"
Tokyo,Japan,City,High,9.2,4.7,"Modern metropolis with traditional temples and technology"
Kyoto,Japan,City,Medium,8.8,4.8,"Ancient temples and traditional culture"
Osaka,Japan,City,Medium,8.1,4.4,"Food capital and Universal Studios"
Hiroshima,Japan,City,Low,7.5,4.2,"Peace Memorial and history"
Nara,Japan,City,Low,7.3,4.3,"Deer park and ancient temples"
Seoul,South Korea,City,Medium,8.4,4.5,"Palaces, K-pop, and technology"
Busan,South Korea,Beach,Medium,7.9,4.4,"Beaches, seafood, and mountains"
Jeju,South Korea,Island,Medium,8.0,4.6,"Volcanoes, beaches, and hiking"
Beijing,China,City,Medium,8.5,4.4,"Forbidden City and Great Wall"
Shanghai,China,City,High,8.7,4.6,"Modern skyline and Bund waterfront"
Xi'an,China,City,Medium,7.8,4.3,"Terracotta Army and ancient walls"
Chengdu,China,City,Low,7.2,4.1,"Giant pandas and spicy food"
Hangzhou,China,City,Medium,7.6,4.4,"West Lake and tea plantations"
